batsman,bowler,runs,balls,dismissals
SK Raina,VR Aaron,34,23,1
RE van der Merwe,RJ Harris,13,9,0
M Vohra,BAW Mendis,8,4,0
YK Pathan,DR Smith,24,20,0
LRPL Taylor,JDP Oram,23,13,1
Yuvraj Singh,DNT Zoysa,4,2,1
TM Head,KH Pandya,10,10,1
A Mukund,S Sreesanth,1,1,0
DA Warner,LR Shukla,5,8,0
CA Pujara,S Randiv,1,2,1
SE Marsh,KV Sharma,4,4,0
KC Sangakkara,MC Henriques,1,2,0
AJ Finch,MR Marsh,4,3,0
MK Pandey,K Paul,2,4,1
G Gambhir,MJ McClenaghan,39,32,1
B Akhil,YK Pathan,8,5,0
LA Carseldine,RP Singh,10,10,0
MJ McClenaghan,CH Morris,1,1,0
PP Chawla,M Muralitharan,8,11,1
BJ Hodge,Ankit Sharma,8,4,0
UBT Chand,NLTC Perera,4,9,0
CM Gautam,AB Dinda,14,11,0
BB McCullum,Imran Tahir,41,19,0
RG Sharma,WD Parnell,5,6,0
AD Russell,D Wiese,12,5,0
AA Jhunjhunwala,BW Hilfenhaus,1,1,0
DW Steyn,WD Parnell,10,5,1
KP Pietersen,R Sharma,29,19,1
DPMD Jayawardene,Sandeep Sharma,3,6,1
DR Smith,Imran Tahir,14,15,3
PA Patel,A Nehra,62,36,2
RV Uthappa,SB Styris,0,2,1
KK Cooper,SP Narine,0,2,1
KC Sangakkara,JH Kallis,7,6,0
SP Narine,A Mishra,1,1,0
JA Morkel,V Sehwag,25,11,1
AC Gilchrist,Mohammad Asif,17,11,1
V Kohli,PJ Sangwan,33,20,0
AM Nayar,DW Steyn,9,10,1
UT Yadav,DW Steyn,3,8,0
SPD Smith,I Sharma,21,17,1
MK Pandey,LR Shukla,6,4,0
KD Karthik,S Curran,18,6,0
JH Kallis,PV Tambe,1,3,1
AT Rayudu,AD Mascarenhas,15,10,0
DJG Sammy,HV Patel,6,4,1
TM Dilshan,SW Tait,6,4,0
AD Mathews,DW Steyn,3,5,0
M Santner,JJ Bumrah,2,5,0
RG Sharma,Y Nagar,2,5,0
UBT Chand,S Sreesanth,9,9,1
SN Thakur,HH Pandya,11,3,0
MN van Wyk,GR Napier,3,6,1
CH Gayle,SL Malinga,57,72,1
UBT Chand,MM Sharma,15,13,2
SA Yadav,S Badree,1,3,0
SV Samson,R Shukla,4,2,0
AM Nayar,SB Bangar,0,1,0
JC Buttler,MJ McClenaghan,12,11,0
RG Sharma,L Balaji,30,22,2
AM Nayar,VR Aaron,5,3,0
DJ Bravo,VRV Singh,9,4,0
A Nehra,SW Tait,2,4,0
S Dhawan,JO Holder,29,25,0
BA Stokes,K Khejroliya,15,8,0
S Gill,CR Brathwaite,0,1,1
S Gopal,Mohammed Shami,0,1,1
DJ Bravo,BCJ Cutting,5,3,0
NV Ojha,Shakib Al Hasan,19,11,1
AM Rahane,BE Hendricks,6,5,0
BJ Hodge,S Gopal,17,12,0
SB Styris,MS Gony,9,8,0
G Gambhir,Shoaib Ahmed,8,5,1
R Dhawan,JJ Bumrah,3,3,0
KL Rahul,CJ Jordan,1,3,0
DA Warner,S Kaul,2,2,0
YV Takawale,Mohammad Asif,4,6,0
R Singh,MJ McClenaghan,2,3,0
KP Pietersen,SC Ganguly,2,4,1
WP Saha,A Symonds,6,2,1
YK Pathan,Mohammed Siraj,8,9,1
OA Shah,Ankit Sharma,10,6,0
AJ Finch,NLTC Perera,0,1,1
K Rabada,S Curran,0,1,1
SR Watson,P Kumar,67,42,2
RA Jadeja,SM Pollock,2,2,0
MA Agarwal,MJ McClenaghan,3,5,2
WP Saha,Azhar Mahmood,0,1,0
GJ Maxwell,KW Richardson,13,7,1
PP Chawla,R Tewatia,0,3,1
KS Williamson,YK Pathan,6,4,0
SK Raina,KA Pollard,73,43,1
AB Agarkar,P Amarnath,6,2,0
G Gambhir,R Sharma,13,10,0
Anirudh Singh,SK Warne,6,7,1
DJ Bravo,RR Powar,2,4,1
DA Miller,S Aravind,7,9,1
HH Pandya,CJ Anderson,12,4,0
CH Gayle,K Gowtham,14,19,0
G Gambhir,SL Malinga,39,41,2
RA Jadeja,DL Vettori,19,11,1
RA Jadeja,B Lee,14,10,1
SPD Smith,P Suyal,19,11,0
AS Yadav,YS Chahal,14,14,2
HH Pandya,BA Stokes,11,11,1
DA Warner,RA Jadeja,58,36,0
V Kohli,K Gowtham,24,27,1
S Dhawan,BW Hilfenhaus,15,14,1
JJ Roy,B Kumar,15,13,1
JO Holder,SB Jakati,1,1,0
RA Jadeja,TG Southee,16,9,0
KP Pietersen,BJ Hodge,5,5,1
B Lee,AM Rahane,2,2,0
MS Dhoni,GB Hogg,0,1,0
AB de Villiers,Basil Thampi,16,6,0
SN Khan,P Negi,3,4,0
Yuvraj Singh,DJ Hussey,17,7,0
K Paul,B Kumar,6,3,1
Kuldeep Yadav,MJ McClenaghan,0,5,0
Basil Thampi,T Natarajan,2,4,0
MJ Guptill,BB Sran,8,5,0
MC Henriques,MG Neser,5,2,0
DA Warner,SN Thakur,26,16,0
BB McCullum,PP Chawla,63,60,4
KC Cariappa,CH Morris,0,1,1
KS Williamson,A Mishra,64,51,0
SPD Smith,L Balaji,21,10,0
KL Rahul,R Ashwin,5,7,0
SK Raina,JJ Bumrah,50,36,2
DR Smith,KA Pollard,17,6,0
SR Watson,J Behrendorff,1,3,0
OA Shah,JP Duminy,4,3,0
R Tewatia,L Balaji,2,3,0
MK Tiwary,L Ngidi,5,8,0
KA Pollard,P Negi,41,21,0
SE Marsh,R McLaren,12,8,0
IK Pathan,TM Dilshan,0,1,1
JDP Oram,A Kumble,2,2,0
TM Dilshan,RA Jadeja,18,16,0
KC Sangakkara,SR Tendulkar,1,2,0
IK Pathan,PJ Sangwan,25,10,0
S Rutherford,I Sodhi,1,1,0
KH Pandya,Z Khan,27,15,0
RV Uthappa,A Singh,16,9,0
MM Sharma,Rashid Khan,1,1,0
KK Nair,Washington Sundar,18,16,0
Yuvraj Singh,SB Bangar,1,1,0
R Ashwin,SR Watson,3,5,1
AT Rayudu,IK Pathan,69,36,1
RV Uthappa,TA Boult,6,7,1
DB Ravi Teja,A Singh,1,3,1
Y Venugopal Rao,Iqbal Abdulla,5,7,0
Y Venugopal Rao,RP Singh,11,8,0
CH Gayle,Karanveer Singh,18,5,0
P Shaw,N Saini,6,7,0
G Gambhir,SK Warne,50,37,0
RE van der Merwe,SW Tait,2,3,0
Harbhajan Singh,MA Starc,2,4,1
M Kaif,Z Khan,4,6,0
JP Duminy,DJ Bravo,11,9,1
R Dhawan,SP Narine,3,5,0
ML Hayden,SR Watson,13,5,0
KS Williamson,UT Yadav,69,35,1
MK Tiwary,WPUJC Vaas,0,1,1
UBT Chand,PV Tambe,5,4,1
RG Sharma,P Krishna,21,13,1
SPD Smith,SP Narine,46,40,2
DR Smith,MJ McClenaghan,25,24,1
DR Smith,P Negi,1,2,0
V Kohli,SK Warne,16,28,1
HM Amla,PJ Sangwan,10,6,0
HM Amla,TA Boult,10,7,0
SC Ganguly,Yuvraj Singh,4,2,0
TL Suman,TM Dilshan,15,7,0
SS Iyer,Mohammed Siraj,20,19,1
S Dhawan,AB Dinda,33,34,1
GH Vihari,SK Trivedi,5,6,1
M Ali,Kuldeep Yadav,45,15,1
Shakib Al Hasan,DS Kulkarni,29,17,0
AM Rahane,S Nadeem,84,67,4
S Dhawan,AS Rajpoot,13,8,1
Q de Kock,TA Boult,25,14,0
AM Rahane,AC Thomas,4,4,0
N Saini,O Thomas,0,1,0
DB Das,KK Cooper,1,3,1
KS Williamson,BA Stokes,25,14,1
MEK Hussey,R Ashwin,11,7,0
MC Henriques,MR Marsh,0,1,1
SN Khan,Anureet Singh,8,7,1
MA Agarwal,I Sharma,23,14,0
LA Pomersbach,JD Unadkat,5,2,0
Mohammad Hafeez,AA Noffke,1,2,0
SR Watson,SM Pollock,4,3,0
S Narwal,PD Collingwood,0,1,1
AD Mathews,Harbhajan Singh,2,5,0
IK Pathan,MM Patel,14,8,0
RJ Harris,V Kohli,4,5,0
YK Pathan,SK Trivedi,22,23,1
JJ Roy,CR Woakes,2,2,0
KD Karthik,CR Woakes,17,7,0
DJ Hussey,SP Narine,6,9,1
DW Steyn,AD Russell,1,1,0
HH Pandya,R Ashwin,10,9,0
MS Dhoni,RJ Harris,26,12,1
MS Bisla,JH Kallis,30,20,1
RA Jadeja,JA Morkel,4,7,1
MK Pandey,MM Sharma,44,30,0
BJ Hodge,AC Voges,3,3,0
OA Shah,R Ashwin,8,10,0
UT Khawaja,M Morkel,10,10,0
AJ Finch,R Vinay Kumar,1,7,1
Karanveer Singh,DJ Bravo,2,4,0
A Symonds,A Kumble,13,13,2
SC Ganguly,A Nehra,18,11,0
AL Menaria,Shakib Al Hasan,11,12,0
CA Lynn,MP Stoinis,1,2,0
AJ Finch,DJ Bravo,2,2,0
CH Morris,S Sharma,7,3,0
MEK Hussey,B Lee,39,31,0
HV Patel,M Morkel,3,2,0
Sohail Tanvir,JA Morkel,1,1,0
TD Paine,AG Murtaza,1,3,0
RN ten Doeschate,AA Chavan,6,2,0
GJ Maxwell,AA Chavan,16,10,0
MA Agarwal,A Mishra,13,11,2
DJ Jacobs,A Singh,3,6,1
MS Bisla,A Nehra,6,9,2
LRPL Taylor,DR Smith,2,4,0
G Gambhir,JA Morkel,98,73,0
SE Marsh,MS Gony,9,9,0
RS Bopara,DJ Bravo,1,5,2
WP Saha,VS Malik,2,2,0
H Klaasen,PP Chawla,3,3,0
M Morkel,AD Mathews,0,1,1
C de Grandhomme,S Badree,7,3,0
KD Karthik,AD Russell,14,10,0
SR Tendulkar,DE Bollinger,17,25,1
R Sharma,JEC Franklin,7,3,0
DJ Hussey,SW Tait,4,3,0
MA Starc,KA Pollard,1,1,0
GJ Maxwell,C de Grandhomme,20,9,0
R McLaren,DL Vettori,7,10,0
SK Raina,R Bhatia,45,39,2
AA Jhunjhunwala,DS Kulkarni,18,13,0
JA Morkel,NLTC Perera,2,2,0
IK Pathan,KV Sharma,3,3,0
AD Russell,L Plunkett,6,8,0
N Pooran,TG Southee,1,1,0
V Sehwag,JD Unadkat,22,16,2
Harbhajan Singh,L Ablish,0,2,1
V Kohli,J Botha,6,4,0
JDP Oram,SK Warne,1,4,0
BB McCullum,R Ashwin,29,41,3
S Gill,SL Malinga,20,12,0
BE Hendricks,A Nehra,1,2,0
AD Russell,CJ Jordan,7,3,0
AM Nayar,AN Ahmed,3,4,1
SMSM Senanayake,AD Mathews,2,1,0
PA Patel,AS Rajpoot,20,15,0
NLTC Perera,R Dhawan,2,2,0
JP Duminy,M Manhas,8,9,0
A Hales,TA Boult,10,11,0
BB McCullum,PJ Cummins,54,21,0
KM Jadhav,Kuldeep Yadav,11,6,0
OA Shah,SW Tait,3,6,0
MK Tiwary,RS Bopara,20,14,0
M Santner,HH Pandya,2,3,0
NLTC Perera,R Sharma,10,6,0
Mohammed Shami,MA Starc,1,1,0
RG Sharma,CRD Fernando,0,1,1
AB de Villiers,CH Morris,71,33,0
Yuvraj Singh,MM Sharma,43,24,1
Shakib Al Hasan,KV Sharma,2,10,2
S Nadeem,Avesh Khan,1,2,0
SPD Smith,SW Tait,8,9,0
SR Watson,B Kumar,78,83,3
V Kohli,CR Woakes,1,1,0
KA Pollard,IK Pathan,13,14,3
LA Pomersbach,GH Vihari,0,5,0
MS Bisla,R Vinay Kumar,25,16,0
SS Iyer,DS Kulkarni,31,22,0
PP Chawla,MM Patel,15,9,0
R Dravid,Joginder Sharma,2,3,0
AB Agarkar,RR Raje,10,6,0
CH Morris,NM Coulter-Nile,7,7,1
DJ Bravo,VS Malik,1,2,0
MS Bisla,Z Khan,6,4,0
Mandeep Singh,J Botha,12,8,0
RR Pant,AD Russell,23,14,1
C Ingram,R Salam,1,3,0
DA Warner,P Kumar,124,86,3
UT Khawaja,CR Brathwaite,6,5,0
MA Agarwal,BA Stokes,6,5,1
V Kohli,MJ McClenaghan,39,40,4
AT Rayudu,N Saini,25,21,0
Q de Kock,HV Patel,27,17,0
SP Narine,V Chakravarthy,24,5,0
DJG Sammy,PP Chawla,3,10,1
MK Tiwary,KAJ Roach,1,1,0
TM Dilshan,AJ Finch,1,1,0
A Choudhary,AR Patel,2,2,0
Gurkeerat Singh,Harbhajan Singh,1,2,1
MJ Guptill,C de Grandhomme,1,3,0
RA Tripathi,A Nehra,0,3,0
SK Raina,UT Yadav,93,90,3
BCJ Cutting,TA Boult,14,9,1
KK Nair,Harbhajan Singh,20,21,4
JEC Franklin,J Botha,5,2,0
Bipul Sharma,J Botha,1,1,0
ML Hayden,M Kartik,12,10,0
NV Ojha,LR Shukla,6,2,0
A Mishra,CRD Fernando,3,4,1
NLTC Perera,SK Warne,0,2,0
K Rabada,VR Aaron,0,2,0
BB McCullum,GB Hogg,0,1,1
SV Samson,RD Chahar,18,11,1
S Dhawan,R Dhawan,12,12,2
M Vijay,JP Duminy,2,5,0
Shahid Afridi,IK Pathan,5,3,0
S Dhawan,P Amarnath,11,9,0
JEC Franklin,KK Cooper,1,1,0
Sandeep Sharma,D Wiese,2,4,0
MP Stoinis,CH Morris,8,9,0
KL Rahul,TG Southee,20,23,0
GB Hogg,R Vinay Kumar,3,3,0
LRPL Taylor,RS Bopara,2,2,0
KP Appanna,YA Abdulla,0,1,0
DB Ravi Teja,A Mishra,2,3,1
R Dravid,B Lee,23,24,0
MK Tiwary,R Rampaul,2,2,0
SA Asnodkar,ST Jayasuriya,4,5,0
AT Rayudu,AB Agarkar,27,21,0
DJ Hussey,MG Johnson,1,1,0
AD Mathews,SR Watson,13,14,1
R Ashwin,DS Kulkarni,17,5,0
KAJ Roach,SL Malinga,4,3,0
AD Mathews,KP Appanna,1,4,1
AG Paunikar,AB Dinda,5,5,1
D Wiese,PV Tambe,1,1,0
P Kumar,A Singh,10,5,0
Mohammad Hafeez,Joginder Sharma,4,4,0
LR Shukla,HV Patel,0,1,1
Shakib Al Hasan,VR Aaron,4,5,0
Yuvraj Singh,CRD Fernando,5,3,0
PA Patel,B Lee,13,13,1
RV Uthappa,UT Yadav,27,29,2
RG Sharma,AL Menaria,10,10,0
PP Chawla,SB Styris,7,3,0
MC Henriques,J Suchith,1,3,1
RV Uthappa,KMDN Kulasekara,5,4,1
MP Stoinis,MJ McClenaghan,0,1,1
S Dhawan,Gurkeerat Singh,2,2,0
KA Pollard,UT Yadav,36,26,1
AD Russell,CH Morris,31,18,3
KM Jadhav,M Markande,11,7,0
R Dravid,Y Nagar,1,2,1
M Muralitharan,A Singh,1,2,1
KV Sharma,NM Coulter-Nile,11,11,2
PA Reddy,AD Mathews,8,5,0
SN Khan,JD Unadkat,10,6,0
SK Raina,T Shamsi,8,8,0
AC Blizzard,M Morkel,29,12,0
F du Plessis,RD Chahar,0,1,1
PA Patel,GJ Maxwell,12,8,0
KM Jadhav,A Mishra,41,26,0
CA Pujara,SMSM Senanayake,3,7,1
SK Raina,SN Thakur,7,8,0
M Vijay,PJ Sangwan,40,19,0
DJ Hooda,MC Henriques,1,2,0
F du Plessis,Iqbal Abdulla,25,17,0
F du Plessis,RP Singh,3,2,0
EJG Morgan,DJ Hooda,5,8,0
R Ninan,MS Gony,1,1,0
PP Chawla,L Balaji,19,20,1
YK Pathan,Shahid Afridi,3,4,0
TM Dilshan,DP Vijaykumar,7,3,0
SR Tendulkar,AB Dinda,59,43,0
JM Kemp,TM Dilshan,1,2,0
JJ van der Wath,S Randiv,0,1,0
AB Dinda,Harbhajan Singh,0,3,0
A Nehra,P Awana,0,2,0
R Ninan,DW Steyn,2,4,0
MR Marsh,R Bhatia,3,5,1
CJ Anderson,Sandeep Sharma,21,10,0
CR Woakes,MM Sharma,7,3,0
KD Karthik,WD Parnell,13,13,0
LA Pomersbach,J Botha,4,3,0
RS Bopara,Yuvraj Singh,2,2,0
GH Vihari,Harmeet Singh,1,4,0
TM Dilshan,R Sharma,15,15,1
A Symonds,CK Langeveldt,1,3,0
SR Tendulkar,Jaskaran Singh,24,17,0
DR Smith,GJ Maxwell,27,11,1
KL Rahul,DS Kulkarni,35,30,4
STR Binny,SB Jakati,14,5,0
SE Marsh,GD McGrath,2,4,0
SPD Smith,AB Dinda,21,6,0
BB McCullum,DT Christian,8,3,0
CA Lynn,CR Woakes,4,5,1
SC Ganguly,SL Malinga,7,7,1
A Symonds,CH Gayle,1,2,1
SR Watson,Imran Tahir,3,6,0
DJ Bravo,Shoaib Malik,0,1,1
RN ten Doeschate,PV Tambe,0,1,1
LMP Simmons,S Kaul,6,5,0
Y Venugopal Rao,DL Vettori,11,14,1
RV Uthappa,R Bhatia,38,25,0
KA Pollard,SMSM Senanayake,9,5,0
DL Vettori,S Nadeem,1,1,0
A Ashish Reddy,SL Malinga,3,4,0
AS Rajpoot,SN Thakur,1,3,1
SE Marsh,DS Kulkarni,29,19,1
EJG Morgan,J Botha,9,11,0
SP Jackson,K Rabada,1,1,0
ML Hayden,RR Raje,14,5,0
RV Gomez,JD Ryder,3,4,0
BCJ Cutting,R Shukla,0,3,0
DB Ravi Teja,R Bhatia,9,9,0
DA Warner,R Sharma,25,12,0
RV Uthappa,P Awana,37,29,2
Shakib Al Hasan,SN Thakur,8,6,0
PR Shah,RP Singh,5,3,1
MEK Hussey,V Sehwag,11,10,1
SR Watson,MA Starc,26,15,0
R Singh,S Nadeem,3,4,0
R Dravid,DR Smith,4,5,1
CH Gayle,AN Ahmed,28,10,0
DR Smith,PJ Cummins,5,10,2
UT Yadav,DJ Bravo,4,9,2
L Livingstone,K Ahmed,2,5,0
RV Uthappa,MC Henriques,64,38,1
KK Nair,KC Cariappa,5,5,1
Y Nagar,V Pratap Singh,7,3,0
MK Pandey,Ankit Sharma,2,6,1
AM Nayar,SW Tait,1,2,0
M Vohra,YS Chahal,1,3,1
KS Williamson,Mohammed Siraj,13,10,1
WP Saha,JP Faulkner,30,22,1
RV Uthappa,CK Langeveldt,3,3,0
Harbhajan Singh,IK Pathan,13,11,1
JC Buttler,M Ashwin,12,7,0
CH Gayle,CR Woakes,0,2,1
V Kohli,FH Edwards,19,9,0
DPMD Jayawardene,BA Bhatt,21,11,0
TG Southee,JD Unadkat,6,7,1
RG Sharma,Mohammed Siraj,34,19,0
DR Smith,Shakib Al Hasan,31,19,2
V Kohli,KC Cariappa,43,16,1
SK Raina,PJ Sangwan,27,20,2
SR Watson,S Vidyut,11,5,0
AS Raut,R Vinay Kumar,23,9,0
RV Uthappa,IC Pandey,42,21,0
KP Pietersen,LJ Wright,3,5,0
C de Grandhomme,B Kumar,20,18,2
RV Uthappa,DS Kulkarni,60,39,3
SN Khan,AD Russell,11,7,1
MC Henriques,NM Coulter-Nile,7,5,0
KV Sharma,SN Thakur,0,1,0
M Morkel,DJ Bravo,1,1,0
Anureet Singh,AD Russell,1,1,0
KA Pollard,CL White,8,3,0
GC Smith,AB Agarkar,6,5,0
A Mishra,A Singh,2,2,0
SS Iyer,R Parag,4,5,1
DJ Thornely,DNT Zoysa,2,4,0
A Chopra,SM Pollock,1,4,0
MK Tiwary,P Negi,7,8,0
JA Morkel,S Aravind,15,4,0
KS Williamson,T Shamsi,9,6,0
Gurkeerat Singh,AA Chavan,3,2,0
BJ Hodge,P Awana,8,8,0
JP Duminy,DE Bollinger,6,3,0
JH Kallis,Joginder Sharma,7,5,1
NV Ojha,Yuvraj Singh,12,11,1
BB McCullum,AR Patel,35,37,3
Harbhajan Singh,Rashid Khan,0,4,0
Shakib Al Hasan,TG Southee,12,5,1
AB Agarkar,J Botha,3,3,0
Gurkeerat Singh,IK Pathan,27,11,0
AS Rajpoot,MM Patel,2,5,0
JP Duminy,L Balaji,15,10,0
R Vinay Kumar,RJ Harris,8,7,2
F du Plessis,CJ Anderson,37,14,0
SR Tendulkar,A Uniyal,6,5,0
DJ Hooda,R Tewatia,5,5,0
R McLaren,R Vinay Kumar,3,5,0
HH Gibbs,V Kohli,12,12,0
IK Pathan,PP Ojha,11,14,2
AJ Tye,AF Milne,4,4,0
G Gambhir,K Rabada,8,8,0
S Badrinath,DW Steyn,8,4,0
Harbhajan Singh,Jaskaran Singh,4,2,0
MA Agarwal,Anureet Singh,25,21,1
RR Pant,N Saini,2,2,0
LR Shukla,T Henderson,8,8,0
RT Ponting,Yuvraj Singh,0,1,1
SE Marsh,PV Tambe,16,14,1
LR Shukla,J Botha,16,15,0
WD Parnell,BE Hendricks,2,2,1
PA Patel,SMSM Senanayake,6,10,0
SW Billings,Sandeep Sharma,5,8,1
Z Khan,JDP Oram,6,4,0
AC Blizzard,AB Agarkar,4,2,0
SS Tiwary,MA Starc,3,3,0
N Rana,RA Jadeja,38,22,0
AL Menaria,P Awana,9,13,0
PA Reddy,SW Tait,4,5,0
NLTC Perera,M Kartik,8,5,0
LMP Simmons,Iqbal Abdulla,12,13,0
B Kumar,AD Russell,0,2,0
LMP Simmons,RP Singh,8,7,0
Azhar Mahmood,SK Trivedi,22,15,0
BA Stokes,R Ashwin,12,7,0
MS Dhoni,I Sharma,29,22,1
AP Tare,Imran Tahir,4,3,1
HV Patel,Sandeep Sharma,8,4,0
W Jaffer,AB Agarkar,1,1,0
KP Pietersen,MM Patel,7,6,0
M Rawat,VY Mahesh,4,1,0
NV Ojha,KA Pollard,14,13,0
R Tewatia,Mohammed Siraj,1,3,0
KD Karthik,MK Tiwary,5,4,0
MC Henriques,Harmeet Singh,2,2,0
M Vijay,B Kumar,35,42,1
M Rawat,JDP Oram,2,3,0
AD Russell,TG Southee,48,16,1
UT Khawaja,J Yadav,15,11,0
SC Ganguly,B Lee,3,4,0
Mohammad Nabi,CH Morris,5,5,0
DR Smith,PP Ojha,19,14,1
JJ Roy,M Markande,10,5,0
LA Carseldine,S Sreesanth,2,2,0
YK Pathan,P Krishna,3,4,0
S Dhawan,DL Chahar,31,40,1
AC Gilchrist,M Ntini,25,12,0
C Ingram,YS Chahal,7,5,0
LRPL Taylor,PP Chawla,14,22,1
MM Patel,SE Bond,3,2,0
KH Pandya,K Paul,12,7,0
RR Pant,AR Patel,2,3,0
JD Ryder,AM Nayar,1,1,0
PC Valthaty,AN Ahmed,4,7,0
MK Tiwary,R Sharma,0,5,0
CJ Anderson,MJ McClenaghan,0,3,1
M Rawat,DL Vettori,1,2,0
EJG Morgan,YK Pathan,1,1,0
BB Sran,Sandeep Sharma,1,1,0
Y Nagar,Harbhajan Singh,0,1,1
SE Marsh,R Dhawan,16,10,0
AM Rahane,MM Sharma,59,39,1
Mohammad Hafeez,RP Singh,5,5,0
VVS Laxman,SW Tait,1,2,1
HH Gibbs,Y Nagar,1,3,1
CL White,AC Thomas,10,7,0
PA Reddy,Azhar Mahmood,12,6,0
Sandeep Sharma,UT Yadav,1,3,0
M Ashwin,Harbhajan Singh,0,1,1
G Gambhir,B Lee,5,9,0
NV Ojha,WPUJC Vaas,6,4,0
R Sathish,A Mithun,1,1,0
PA Patel,PP Ojha,22,11,0
RT Ponting,Z Khan,2,6,0
MD Mishra,AD Mathews,9,5,1
SR Watson,AD Russell,33,24,0
OA Shah,Bipul Sharma,7,4,0
PV Tambe,V Kohli,2,4,0
RG Sharma,SB Jakati,28,22,1
P Chopra,DJ Bravo,4,3,0
DL Vettori,DAJ Bracewell,2,2,0
R Parag,PP Chawla,2,5,0
RE Levi,SK Trivedi,3,3,0
AM Rahane,R Tewatia,12,14,0
JJ Roy,Rashid Khan,1,1,0
KV Sharma,J Botha,22,9,1
RT Ponting,AA Noffke,4,3,0
S Rana,JH Kallis,10,4,0
RG Sharma,J Theron,6,7,0
KL Rahul,KH Pandya,44,40,0
AA Jhunjhunwala,Harbhajan Singh,5,6,0
CH Gayle,BCJ Cutting,24,17,2
RG Sharma,Imran Tahir,79,62,1
JP Duminy,KA Pollard,30,17,0
G Gambhir,GJ Maxwell,42,24,0
RJ Quiney,JA Morkel,12,9,0
BB McCullum,WD Parnell,20,19,1
Q de Kock,KH Pandya,6,7,1
AT Rayudu,JJ Bumrah,11,15,1
BA Stokes,YK Pathan,0,1,1
JH Kallis,AB Agarkar,19,14,1
SK Raina,Parvez Rasool,4,5,0
GJ Maxwell,Bipul Sharma,7,4,0
SR Watson,P Parameswaran,2,3,1
Azhar Mahmood,PP Ojha,12,7,1
SE Marsh,DP Vijaykumar,13,6,0
Y Venugopal Rao,AB McDonald,2,3,1
K Upadhyay,Z Khan,4,4,0
Washington Sundar,CR Woakes,0,2,0
PP Chawla,KV Sharma,14,5,0
AD Mathews,NLTC Perera,11,7,0
GJ Bailey,JA Morkel,0,3,1
MJ Lumb,PP Chawla,12,10,1
KH Pandya,P Negi,6,8,0
YK Pathan,D Kalyankrishna,9,6,1
T Thushara,Harmeet Singh,5,4,0
MEK Hussey,S Kaul,18,12,0
STR Binny,PP Chawla,21,15,1
MS Dhoni,DJ Muthuswami,1,3,0
DA Miller,Z Khan,2,6,0
NV Ojha,P Parameswaran,11,9,0
IK Pathan,Anand Rajan,4,8,0
RS Bopara,DJ Hooda,4,3,0
Joginder Sharma,Harbhajan Singh,0,1,1
Q de Kock,K Rabada,2,6,0
A Mishra,PC Valthaty,0,1,1
KC Sangakkara,JM Kemp,2,2,0
NS Naik,JJ Bumrah,1,3,1
Q de Kock,K Paul,7,3,0
CJ Ferguson,DT Christian,12,4,0
D Short,A Mishra,3,6,0
KS Williamson,C de Grandhomme,20,9,0
EJG Morgan,SN Thakur,4,3,0
MP Stoinis,HH Pandya,21,5,0
J Searles,J Archer,1,3,0
AL Menaria,RJ Harris,5,7,0
SC Ganguly,SK Raina,1,4,0
BJ Hodge,SB Wagh,0,1,0
N Rana,I Sodhi,5,5,1
J Botha,L Balaji,7,6,0
J Syed Mohammad,DE Bollinger,1,1,0
SM Pollock,MF Maharoof,5,3,1
OA Shah,A Ashish Reddy,3,5,0
DJ Bravo,MC Henriques,5,8,0
SV Samson,HV Patel,2,5,1
EJG Morgan,Shakib Al Hasan,13,11,0
YK Pathan,YS Chahal,13,20,3
AB de Villiers,DJG Sammy,34,11,0
VR Aaron,R Dhawan,5,4,0
RR Pant,SN Thakur,19,11,0
DJ Hussey,SB Styris,18,12,0
CA Lynn,GJ Maxwell,0,1,1
DJ Bravo,BAW Mendis,2,3,0
AS Yadav,V Kohli,7,3,0
A Mithun,PC Valthaty,3,3,0
Joginder Sharma,SL Malinga,3,4,0
MS Dhoni,Harbhajan Singh,47,39,1
DH Yagnik,R Bhatia,2,3,0
CH Gayle,Kamran Khan,36,13,1
RV Uthappa,VR Aaron,15,13,1
UBT Chand,KV Sharma,1,3,0
SL Malinga,A Singh,0,1,1
YK Pathan,L Ferguson,1,3,0
V Shankar,K Paul,7,4,0
DPMD Jayawardene,Mohammad Hafeez,2,2,0
Gurkeerat Singh,Mohammad Nabi,5,5,0
Q de Kock,CH Morris,11,4,0
RV Uthappa,Mohammed Siraj,38,28,1
Ankit Sharma,DJ Bravo,0,1,1
RV Uthappa,MG Johnson,38,23,2
KM Jadhav,J Archer,0,5,1
Harbhajan Singh,AD Mathews,1,4,1
AM Rahane,PV Tambe,4,5,1
RV Uthappa,Shahid Afridi,6,9,1
B Lee,SE Bond,1,1,0
MA Agarwal,Ankit Sharma,7,4,0
MP Stoinis,Basil Thampi,1,3,0
S Sohal,SB Jakati,5,3,1
DPMD Jayawardene,M Morkel,1,5,0
LRPL Taylor,YK Pathan,1,4,1
H Klaasen,SP Narine,6,3,0
MA Agarwal,Z Khan,4,6,1
SC Ganguly,DT Christian,2,7,1
WPUJC Vaas,SJ Srivastava,12,5,0
RV Uthappa,J Archer,4,10,0
SP Goswami,Shakib Al Hasan,4,8,1
LJ Wright,P Kumar,18,5,0
LJ Wright,Azhar Mahmood,16,5,1
DB Ravi Teja,Umar Gul,0,1,1
KK Nair,AB Dinda,33,22,0
MS Dhoni,RS Bopara,17,11,0
